,District,Count_of_Banned from Libraries and Classrooms_Books,Count_of_Banned from Libraries_Books,Count_of_Banned from Classrooms_Books,Count_of_Banned Pending Investigation_Books,sum_total_challenges_bans,Most_Occurring_Book,State
109,Raytown Quality Schools,0,0,0,0,0,"(1, 'Flamer')",Missouri
110,Spring Lake Public Schools,0,0,0,0,0,"(1, 'Gender Queer: A Memoir')",Michigan
111,Plattsmouth Community Schools,0,0,0,0,0,"(1, 'Melissa (George)')",Nebraska
112,Hamilton County Schools,0,0,0,0,0,"(1, 'Mother Bruce')",Tennessee
113,Independence School District,0,0,0,0,0,"(1, 'Fun Home: A Family Tragicomic')",Missouri
114,School District of Somerset,0,0,0,0,0,"(1, 'The Haters')",Wisconsin
115,Roxbury Public Schools,0,0,0,0,0,"(1, ""Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)"")",New Jersey
116,Greeley-Evans Weld County School District 6,0,0,0,0,0,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Colorado
117,Webster Groves School District,0,0,0,0,0,"(1, ""Zahra's Paradise"")",Missouri
118,Kutztown School District,0,0,0,0,0,"(1, 'Two Degrees')",Pennsylvania
119,Texarkana Independent School District,0,0,0,0,0,"(1, 'Simon vs. the Homo Sapiens Agenda')",Texas
120,Sartell-St. Stephen ISD 748,0,0,0,0,0,"(1, 'Him')",Minnesota
121,Ogden School District,0,0,0,0,0,"(1, 'I Am Jazz')",Utah
122,Rapid River Public Schools,0,0,0,0,0,"(1, 'American Gods')",Michigan
123,Washingtonville Central School District,0,0,0,0,0,"(1, 'Gender Queer: A Memoir')",New York
124,Kuna School District,0,0,0,0,0,"(1, 'Speak')",Idaho
125,Selinsgrove Area School District,0,0,0,0,0,"(1, 'Staying Fat for Sarah Byrnes')",Pennsylvania
126,Maine School Administrative District #6,0,0,0,0,0,"(1, 'Me and Earl and the Dying Girl')",Maine
127,Wilton-Lyndeborough Cooperative School District,0,0,0,0,0,"(1, 'Body Talk: 37 Voices Explore Our Radical Anatomy')",New Hampshire
128,Charlotte-Mecklenburg Schools,0,0,0,0,0,"(1, 'Sex Plus: Learning, Loving, and Enjoying Your Body')",North Carolina
129,Natrona County Schools,0,0,0,0,0,"(1, 'Trans Bodies, Trans Selves: A Resource By and for Transgender Communities')",Wyoming
130,Wood County Schools,0,0,0,0,0,"(1, ""It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"")",West Virginia
131,Williston Basin School District #7,0,0,0,0,0,"(1, 'The Upside of Unrequited')",North Dakota
132,Milan Area Schools,0,0,0,0,0,"(1, 'Fun Home: A Family Tragicomic')",Michigan
133,Mehlville School District,0,0,0,0,0,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
134,Grinnell-Newburg Community School District,0,0,0,0,0,"(1, 'The Glass Castle')",Iowa
135,Sioux Valley School District,0,0,0,0,0,"(1, 'The Perks of Being a Wallflower')",South Dakota
136,Lindbergh Schools,0,0,0,0,0,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
137,Cheboygan Area Schools,0,0,0,0,0,"(1, 'All American Boys')",Michigan
138,Belding Area Schools,0,0,0,0,0,"(1, 'Looking for Alaska')",Michigan
139,Pleasant Valley School District,0,0,0,0,0,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Pennsylvania
140,North Kansas City Schools,0,0,0,0,0,"(1, ""Zahra's Paradise"")",Missouri
141,Mahopac Central School District,0,0,0,0,0,"(1, 'Looking for Alaska')",New York
142,Wentzville School District,0,0,0,0,0,"(1, ""Hitler's Final Solution"")",Missouri
143,Spring Branch Independent School District,0,0,0,0,0,"(1, ""The Handmaid's Tale"")",Texas
144,Carroll Community School District,0,0,0,0,0,"(1, 'Red Hood')",Iowa
145,Canby Public School District,0,0,0,0,0,"(1, 'Me and Earl and the Dying Girl')",Oregon
146,South Summit School District,0,0,0,0,0,"(1, 'Brave New World')",Utah
147,Park County School District #1,0,0,0,0,0,"(1, 'Speak')",Wyoming
148,Patrick Public Schools,0,0,0,0,0,"(1, 'Student Reader Grade 3 Unit 6: Gods, Giants, and Dwarves')",Virginia
149,Lexington-Richland School District 5,0,0,0,0,0,"(1, 'Between the World and Me')",South Carolina
150,FAU Lab Schools,0,0,0,0,0,"(1, 'Ghost Boys')",Florida
151,Forsyth County Schools,0,0,0,0,0,"(1, 'Oryx and Crake')",Georgia
152,Portage Public Schools,0,0,0,0,0,"(1, 'Push')",Michigan
